hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
6063,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6065,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6066,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6067,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6068,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6069,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6070,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6071,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6072,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6073,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6074,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6075,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6076,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6077,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6078,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6079,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6080,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6081,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6082,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6083,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6086,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6087,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6088,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6089,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6090,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6091,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6092,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
