drill_passport,depth_m,litology_code
605-E230725_P_B_9.B,1.01,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.02,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.03,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.04,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.06,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.08,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.09,quartz-mica foliated schists
605-E230725_P_B_9.B,1.1,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-2.14,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.93,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.9,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.87,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.86,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.85,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.83,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.78,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.76,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.75,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.72,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.71,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.7,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.69,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.68,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.67,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.65,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.64,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.63,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.62,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.61,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.6,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.59,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.57,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.56,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.55,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.53,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.52,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.51,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.5,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.49,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.48,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.47,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.46,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.45,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.44,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.43,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.42,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.41,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.4,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.39,carbonaceous quartz-mica calcium metasomatites
